centre_name,official_name,address,neighbourhood,curriculum,religious_orientation,language_medium,scale,fee_fullday_raw,verification_note,enrichment_date
Tinka Kindergarten,Tinka Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:09:58
Tadika Seri Matahari,Tadika Seri Matahari,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (Bukit Jelutong zone, Tadika center type)",No address provided,2026-04-02 14:10:05
Cubs Education Group,Cubs Education Group,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:10:12
Ace Arrows Kindergarten (Tadika Panah Cemerlang),Ace Arrows Kindergarten (Tadika Panah Cemerlang),[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:10:19
Mahir Dhuha International Islamic Preschool -,Mahir Dhuha International Islamic Preschool -,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:10:27
Tadika Little Oak Tree,Tadika Little Oak Tree,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (Bukit Jelutong zone, Montessori curriculum)",No address provided,2026-04-02 14:10:37
Ace Arrows Kindergarten,Ace Arrows Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:10:45
Alimkids,Alimkids,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:10:52
Pusat Bandar Puchong Kindergarten,Pusat Bandar Puchong Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:10:58
Keedsflix Preschool,Keedsflix Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:11:06
